product,type,subtype1,subtype2,measurement_unit,price_per_unit,bulk_density,price_per_ton,pickup_address,supplier_address,,,,,,,,,,,,,,,,,
Песок,карьерный,,,куб,300,,,ЛСР Тарайка,"59.537817, 28.659583",,,,,,,,,,,,,,,,,
Щебень,гранитный,,4-8,куб,2190,,,ЛСР Кузнечное,"61.139049, 29.874818",,,,,,,,,,,,,,,,,
Щебень,гранитный,2 группа,5-10,куб,2170,,,ЛСР Кузнечное,"61.139049, 29.874818",,,,,,,,,,,,,,,,,
Щебень,гранитный,,"8-11,2",куб,2190,,,ЛСР Кузнечное,"61.139049, 29.874818",,,,,,,,,,,,,,,,,
Щебень,гранитный,,"11,2-16",куб,2190,,,ЛСР Кузнечное,"61.139049, 29.874818",,,,,,,,,,,,,,,,,
Щебень,гранитный,,8-16,куб,2090,"1,4","1492,86",ЛСР Кузнечное,"61.139049, 29.874818",,,,,,,,,,,,,,,,,
Щебень,гранитный,,5-20,куб,1640,"1,38","1188,41",ЛСР Кузнечное,"61.139049, 29.874818",,,,,,,,,,,,,,,,,
Щебень,гранитный,,"16-31,5",куб,1110,,,ЛСР Кузнечное,"61.139049, 29.874818",,,,,,,,,,,,,,,,,
Щебень,гранитный,,20-40,куб,1070,"1,37","781,02",ЛСР Кузнечное,"61.139049, 29.874818",,,,,,,,,,,,,,,,,
Щебень,гранитный,,25-60,куб,1110,,,ЛСР Кузнечное,"61.139049, 29.874818",,,,,,,,,,,,,,,,,
Щебень,гранитный,,"31,5-63",куб,1130,,,ЛСР Кузнечное,"61.139049, 29.874818",,,,,,,,,,,,,,,,,
Щебень,гранитный,,40-70,куб,1090,"1,37","795,62",ЛСР Кузнечное,"61.139049, 29.874818",,,,,,,,,,,,,,,,,
ЩПС,,,0-20,куб,530,,,ЛСР Кузнечное,"61.139049, 29.874818",,,,,,,,,,,,,,,,,
ЩПС,,,0-80,куб,950,,,ЛСР Кузнечное,"61.139049, 29.874818",,,,,,,,,,,,,,,,,
ЩПС,,,0-63,куб,990,,,ЛСР Кузнечное,"61.139049, 29.874818",,,,,,,,,,,,,,,,,
Отсев,Розовый,,0-5,куб,350,"1,48","236,49",ЛСР Кузнечное,"61.139049, 29.874818",,,,,,,,,,,,,,,,,
Отсев,"Серый, Серо-Розовый)",,0-5,куб,250,"1,48","168,92",ЛСР Кузнечное,"61.139049, 29.874818",,,,,,,,,,,,,,,,,
Песок,дробленый,,0-4,куб,300,"1,5","200,00",ЛСР Кузнечное,"61.139049, 29.874818",,,,,,,,,,,,,,,,,
Щебень,гранитный,,5-20,куб,1835,"1,39","1320,14",ЛСР Гарилово,"60.585954, 29.065996",,,,,,,,,,,,,,,,,
Щебень,гранитный,,20-40,куб,1200,"1,39","863,31",ЛСР Гарилово,"60.585954, 29.065996",,,,,,,,,,,,,,,,,
Щебень,гранитный,,40-70,куб,1250,"1,39","899,28",ЛСР Гарилово,"60.585954, 29.065996",,,,,,,,,,,,,,,,,
Щебень,гранитный,,70-150,куб,1480,"1,39","1064,75",ЛСР Гарилово,"60.585954, 29.065996",,,,,,,,,,,,,,,,,
ЩПС,,,0-20,куб,550,,,ЛСР Гарилово,"60.585954, 29.065996",,,,,,,,,,,,,,,,,
ЩПС,,,0-80,куб,1060,,,ЛСР Гарилово,"60.585954, 29.065996",,,,,,,,,,,,,,,,,
ЩПС,,,0-63,куб,1120,,,ЛСР Гарилово,"60.585954, 29.065996",,,,,,,,,,,,,,,,,
Отсев,"Серый, Серо-Розовый)",,0-5,куб,280,"1,5","186,67",ЛСР Гарилово,"60.585954, 29.065996",,,,,,,,,,,,,,,,,
Щебень,гранитный,,4-8,куб,2150,,,ЛСР Пруды,"61.010023, 29.030908",,,,,,,,,,,,,,,,,
Щебень,гранитный,,5-10,куб,1850,"1,25","1480,00",ЛСР Пруды,"61.010023, 29.030908",,,,,,,,,,,,,,,,,
Щебень,гранитный,2,5-10,куб,2130,,,ЛСР Пруды,"61.010023, 29.030908",,,,,,,,,,,,,,,,,
Щебень,гранитный,,"8-11,2",куб,2150,,,ЛСР Пруды,"61.010023, 29.030908",,,,,,,,,,,,,,,,,
Щебень,гранитный,,"11,2-16",куб,2150,,,ЛСР Пруды,"61.010023, 29.030908",,,,,,,,,,,,,,,,,
Щебень,гранитный,,8-16,куб,2150,,,ЛСР Пруды,"61.010023, 29.030908",,,,,,,,,,,,,,,,,
Щебень,гранитный,,5-20,куб,1380,,,ЛСР Пруды,"61.010023, 29.030908",,,,,,,,,,,,,,,,,
Щебень,гранитный,,"16-31,5",куб,1190,,,ЛСР Пруды,"61.010023, 29.030908",,,,,,,,,,,,,,,,,
Щебень,гранитный,,20-40,куб,1150,,,ЛСР Пруды,"61.010023, 29.030908",,,,,,,,,,,,,,,,,
Отсев,"Серый, Серо-Розовый)",,0-5,куб,160,,,ЛСР Пруды,"61.010023, 29.030908",,,,,,,,,,,,,,,,,
Песок,дробленый,,0-4,куб,300,,,ЛСР Пруды,"61.010023, 29.030908",,,,,,,,,,,,,,,,,
Щебень,гранитный,,5-20,куб,1520,"1,39","1093,53",ЛСР Боровинка,"60.929998, 29.272783",,,,,,,,,,,,,,,,,
Щебень,гранитный,,20-40,куб,1170,"1,37","854,01",ЛСР Боровинка,"60.929998, 29.272783",,,,,,,,,,,,,,,,,
ЩПС,,,0-80,куб,850,,,ЛСР Боровинка,"60.929998, 29.272783",,,,,,,,,,,,,,,,,
ЩПС,,,0-63,куб,890,,,ЛСР Боровинка,"60.929998, 29.272783",,,,,,,,,,,,,,,,,
Отсев,"Серый, Серо-Розовый)",,0-5,куб,160,,,ЛСР Боровинка,"60.929998, 29.272783",,,,,,,,,,,,,,,,,
Песок,дробленый,,0-4,куб,250,,,ЛСР Боровинка,"60.929998, 29.272783",,,,,,,,,,,,,,,,,
Песок,сеяный,высший сорт,,куб,650,,,Надино,"59.617052, 31.219478",,,,,,,,,,,,,,,,,
Песок,,высший сорт,,куб,400,,,Надино,"59.617052, 31.219478",,,,,,,,,,,,,,,,,
Песок,сеяный,1 сорт,"1,8",куб,500,,,Надино,"59.617052, 31.219478",,,,,,,,,,,,,,,,,
Песок,3-1 категории,,<1,куб,300,,,Надино,"59.617052, 31.219478",,,,,,,,,,,,,,,,,
Песок,сеяный,2,"1,4",куб,450,,,Надино,"59.617052, 31.219478",,,,,,,,,,,,,,,,,
Грунт,плодородный,,,куб,400,,,Надино,"59.617052, 31.219478",,,,,,,,,,,,,,,,,
Гунт,плодородный,просеяный,,куб,600,,,Надино,"59.617052, 31.219478",,,,,,,,,,,,,,,,,
Песок,сеяный,средний,"2-2,5",куб,520,,,Полигон Урочище,"60.397501, 29.920221",,,,,,,,,,,,,,,,,
Песок,намывной,средний,"2-2,5",куб,0,,,Полигон Урочище,"60.397501, 29.920221",,,,,,,,,,,,,,,,,
Песок,намывной,сеяный,"2-2,5",куб,0,,,Полигон Урочище,"60.397501, 29.920221",,,,,,,,,,,,,,,,,
Песок,намывной,мелкий,"1,5-2",куб,0,,,Полигон Урочище,"60.397501, 29.920221",,,,,,,,,,,,,,,,,
Песок,,мелкий,,куб,,,,Полигон Урочище,"60.397501, 29.920221",,,,,,,,,,,,,,,,,
Песок,Горный,средний,"2-2,5",куб,360,,,Полигон Урочище,"60.397501, 29.920221",,,,,,,,,,,,,,,,,
Песок,Горный,1 сорт,"1,5-1,8",куб,300,,,Полигон Урочище,"60.397501, 29.920221",,,,,,,,,,,,,,,,,
Песок,Горный,2 сорт,"0,8",куб,250,,,Полигон Урочище,"60.397501, 29.920221",,,,,,,,,,,,,,,,,
Песок,,слабоводопроницаемый,"0,5",куб,170,,,Полигон Урочище,"60.397501, 29.920221",,,,,,,,,,,,,,,,,
